Ntows,s,iter
1204,4.0,150.0
1205,2.0,150.0
1206,5.0,150.0
1207,1.0,150.0
1208,4.0,150.0
1209,1.0,150.0
1210,1.0,150.0
1211,7.0,150.0
1212,2.0,150.0
1213,5.0,150.0
1214,1.0,150.0
1215,4.0,150.0
1216,2.0,150.0
1217,3.0,150.0
1218,3.0,150.0
1219,4.0,150.0
1220,4.0,150.0
1221,2.0,150.0
1222,5.0,150.0
1223,1.0,150.0
1224,0.0,150.0
1225,3.0,150.0
1226,3.0,150.0
1227,3.0,150.0
1228,6.0,150.0
1229,4.0,150.0
1230,3.0,150.0
1231,7.0,150.0
1232,2.0,150.0
1233,7.0,150.0
1234,9.0,150.0
1235,6.0,150.0
1236,2.0,150.0
1237,7.0,150.0
1238,1.0,150.0
1239,5.0,150.0
1240,7.0,150.0
1241,4.0,150.0
1242,2.0,150.0
1243,3.0,150.0
1244,3.0,150.0
1245,7.0,150.0
1246,4.0,150.0
1247,3.0,150.0
1248,2.0,150.0
1249,1.0,150.0
1250,3.0,150.0
1251,6.0,150.0
1252,1.0,150.0
1253,9.0,150.0
1254,5.0,150.0
1255,3.0,150.0
1256,4.0,150.0
1257,9.0,150.0
1258,4.0,150.0
1259,3.0,150.0
1260,3.0,150.0
1261,3.0,150.0
1262,5.0,150.0
1263,3.0,150.0
1264,5.0,150.0
1265,5.0,150.0
1266,8.0,150.0
1267,1.0,150.0
1268,5.0,150.0
1269,8.0,150.0
1270,5.0,150.0
1271,9.0,150.0
1272,6.0,150.0
1273,1.0,150.0
1274,3.0,150.0
1275,3.0,150.0
1276,2.0,150.0
1277,4.0,150.0
1278,4.0,150.0
1279,3.0,150.0
1280,3.0,150.0
1281,3.0,150.0
1282,4.0,150.0
1283,6.0,150.0
1284,5.0,150.0
1285,6.0,150.0
1286,6.0,150.0
1287,5.0,150.0
1288,4.0,150.0
1289,6.0,150.0
1290,6.0,150.0
1291,7.0,150.0
1292,3.0,150.0
1293,7.0,150.0
1294,7.0,150.0
1295,8.0,150.0
1296,3.0,150.0
1297,7.0,150.0
1298,8.0,150.0
1299,3.0,150.0
1300,5.0,150.0
1301,5.0,150.0
1302,8.0,150.0
1303,6.0,150.0
1304,1.0,150.0
1305,11.0,150.0
1306,3.0,150.0
1307,0.0,150.0
1308,8.0,150.0
1309,2.0,150.0
1310,7.0,150.0
1311,7.0,150.0
1312,5.0,150.0
1313,4.0,150.0
1314,1.0,150.0
1315,7.0,150.0
1316,8.0,150.0
1317,4.0,150.0
1318,3.0,150.0
1319,1.0,150.0
1320,5.0,150.0
1321,6.0,150.0
1322,4.0,150.0
1323,5.0,150.0
1324,3.0,150.0
1325,9.0,150.0
1326,5.0,150.0
1327,1.0,150.0
1328,3.0,150.0
1329,5.0,150.0
1330,2.0,150.0
1331,5.0,150.0
1332,10.0,150.0
1333,9.0,150.0
1334,3.0,150.0
1335,7.0,150.0
1336,12.0,150.0
1337,8.0,150.0
1338,4.0,150.0
1339,8.0,150.0
1340,12.0,150.0
1341,4.0,150.0
1342,6.0,150.0
1343,6.0,150.0
1344,6.0,150.0
1345,4.0,150.0
1346,2.0,150.0
1347,4.0,150.0
1348,6.0,150.0
1349,4.0,150.0
1350,5.0,150.0
1351,5.0,150.0
1352,4.0,150.0
1353,5.0,150.0
1354,9.0,150.0
1355,7.0,150.0
1356,8.0,150.0
1357,2.0,150.0
